# mean, std
183.14944,88.99753
0.03540856,0.033380657
0.049670495,0.037101425
0.05991231,0.055175234
0.0867545,0.064036116
0.20064557,0.09945828
0.19828105,0.10502764
0.12950094,0.09815799
127.02625,106.831635
0.031232353,0.033244923
0.032316025,0.040829968
0.052561134,0.053392038
0.063267045,0.07232793
0.13116893,0.13508709
0.12515536,0.14188069
0.12409224,0.09680371
0.0672034,0.08248996
0.12409616,0.09053507
0.12657727,0.119798295
0.1269909,0.12258503
